window,exec_interval,signal_interval,signal_mode,signal_ma_period,freeze_days,freeze_bars,freeze_basis,raw_flips,regime_flips,trades,return,max_dd,excess_vs_bh
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,0,0,execution,359,359,359,1.6809888063314018,-0.4141771241452281,-1.9376510918525032
1h_exec_3y,1h,4h,long_close_signal,240,1,6,signal,183,119,119,2.4946780474125534,-0.3601438781076941,-1.121749172078574
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,1,24,execution,359,141,141,2.6339476629732355,-0.3621123253160189,-0.9846922352106695
1h_exec_3y,1h,4h,long_close_signal,240,2,12,signal,183,95,95,2.811129756060946,-0.3581998800533992,-0.8052974634301813
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,2,48,execution,359,111,111,2.5800036183487576,-0.3845587221563357,-1.0386362798351474
1h_exec_3y,1h,4h,long_close_signal,240,3,18,signal,183,79,79,2.7055840435153025,-0.34996471641240623,-0.9108431759758249
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,3,72,execution,359,99,99,1.9267371269033977,-0.45011685476674335,-1.6919027712805073
1h_exec_3y,1h,4h,long_close_signal,240,5,30,signal,183,65,65,2.3153168191603157,-0.3332958701095592,-1.3011104003308116
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,5,120,execution,359,75,75,2.5148245957259276,-0.29835874411601704,-1.1038153024579773
1h_exec_3y,1h,4h,long_close_signal,240,7,42,signal,183,57,57,2.129587134854718,-0.3396838593829238,-1.4868400846364094
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,7,168,execution,359,61,61,2.733551116880677,-0.2981927666046418,-0.885088781303228
1h_exec_3y,1h,4h,long_close_signal,240,10,60,signal,183,53,53,1.7885936029195397,-0.46110614109420756,-1.8278336165715876
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,10,240,execution,359,55,55,1.9404644291828985,-0.4064571513032167,-1.6781754690010064
1h_exec_3y,1h,4h,long_close_signal,240,15,90,signal,183,41,41,2.301217701609915,-0.31524467193699923,-1.3152095178812124
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,15,360,execution,359,45,45,1.8035741622054031,-0.2966919459114863,-1.8150657359785018
1h_exec_3y,1h,4h,long_close_signal,240,20,120,signal,183,35,35,2.347308058705061,-0.30722808907890475,-1.2691191607860661
1h_exec_3y,1h,4h,exec_close_vs_signal_ma,240,20,480,execution,359,37,37,2.4015952876767725,-0.30301345309049543,-1.2170446105071324
1h_exec_3y,1h,1d,long_close_signal,40,0,0,signal,79,79,79,3.3040803427286534,-0.24932377186215215,-0.31234687676247397
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,0,0,execution,351,351,351,1.7983100650935415,-0.38618920996578043,-1.7958657967886027
1h_exec_3y,1h,1d,long_close_signal,40,1,1,signal,79,79,79,3.3040803427286534,-0.24932377186215215,-0.31234687676247397
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,1,24,execution,351,135,135,2.9217526995095136,-0.3211076396625344,-0.6724231623726307
1h_exec_3y,1h,1d,long_close_signal,40,2,2,signal,79,73,73,2.904766055531063,-0.2855825697618424,-0.7116611639600645
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,2,48,execution,351,105,105,3.0549942889272774,-0.3272893697628423,-0.5391815729548668
1h_exec_3y,1h,1d,long_close_signal,40,3,3,signal,79,65,65,2.7777287235706853,-0.3150893336404572,-0.838698495920442
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,3,72,execution,351,95,95,2.354866068799104,-0.4083425627031977,-1.2393097930830401
1h_exec_3y,1h,1d,long_close_signal,40,5,5,signal,79,57,57,2.7766497027912216,-0.28612786402477086,-0.8397775166999057
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,5,120,execution,351,75,75,2.3860005344148965,-0.34764597143546716,-1.2081753274672478
1h_exec_3y,1h,1d,long_close_signal,40,7,7,signal,79,53,53,2.4603430471425507,-0.31846350264559486,-1.1560841723485766
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,7,168,execution,351,59,59,2.6126551152891953,-0.3209420895418652,-0.981520746592949
1h_exec_3y,1h,1d,long_close_signal,40,10,10,signal,79,47,47,2.354307171629055,-0.38471561087092243,-1.2621200478620724
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,10,240,execution,351,55,55,1.7667868821769965,-0.44762830350787064,-1.8273889797051477
1h_exec_3y,1h,1d,long_close_signal,40,15,15,signal,79,39,39,2.772497822452308,-0.33889496692315535,-0.8439293970388193
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,15,360,execution,351,43,43,2.300725251030546,-0.2965587889928125,-1.2934506108515982
1h_exec_3y,1h,1d,long_close_signal,40,20,20,signal,79,33,33,3.1209020380729484,-0.34133576905619156,-0.4955251814181789
1h_exec_3y,1h,1d,exec_close_vs_signal_ma,40,20,480,execution,351,35,35,2.9494801168536804,-0.2995598793808626,-0.6446957450284638
1h_exec_6y,1h,1h,long_close_signal,960,0,0,signal,638,638,639,8.670349462822347,-0.4663560906132631,-0.9800792449697528
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,0,0,execution,640,640,641,8.727373901797481,-0.4702967809401739,2.2400796802729053
1h_exec_6y,1h,1h,long_close_signal,960,1,24,signal,638,238,239,13.974590908768455,-0.5052022046160037,4.324162200976355
