window,group,min_hold,param_name,param_value,return,max_dd,trades,buy_hold
3y,exit_buffer,12,exit_buffer_pct,0.02,2.4607056089317267,-0.3823189778329431,63,3.6176013181843745
3y,exit_buffer,18,exit_buffer_pct,0.02,2.623280167176719,-0.4008028368648058,59,3.6176013181843745
3y,exit_buffer,24,exit_buffer_pct,0.02,2.6120564679399485,-0.40747156642601445,55,3.6176013181843745
3y,entry_confirm,18,entry_confirm_bars,1.0,2.7938414093634854,-0.34092296418941026,99,3.6176013181843745
3y,entry_confirm,24,entry_confirm_bars,1.0,2.793352461508407,-0.3729979465565002,91,3.6176013181843745
3y,entry_confirm,18,entry_confirm_bars,2.0,2.563200090302547,-0.3287514326168689,95,3.6176013181843745
3y,entry_confirm,24,entry_confirm_bars,2.0,2.478531280953718,-0.38266024996764003,83,3.6176013181843745
3y,entry_confirm,18,entry_confirm_bars,3.0,2.6522671375610845,-0.32450424345968665,87,3.6176013181843745
3y,entry_confirm,24,entry_confirm_bars,3.0,2.7623274040761543,-0.30119915369985095,77,3.6176013181843745
3y,symmetric_confirm,12,confirm_bars,1.0,3.1477262463900644,-0.29681783787195504,109,3.6176013181843745
3y,symmetric_confirm,18,confirm_bars,1.0,2.7938414093634854,-0.34092296418941026,99,3.6176013181843745
3y,symmetric_confirm,24,confirm_bars,1.0,2.793352461508407,-0.3729979465565002,91,3.6176013181843745
3y,symmetric_confirm,12,confirm_bars,2.0,3.1196186433822994,-0.31140997283852967,79,3.6176013181843745
3y,symmetric_confirm,18,confirm_bars,2.0,2.8118346442640463,-0.3458721013612438,77,3.6176013181843745
3y,symmetric_confirm,24,confirm_bars,2.0,2.5103991831909243,-0.3869400023366961,71,3.6176013181843745
3y,symmetric_confirm,12,confirm_bars,3.0,2.8671053359828886,-0.31839158379995147,71,3.6176013181843745
3y,symmetric_confirm,18,confirm_bars,3.0,2.7231515126549217,-0.34254737431818494,67,3.6176013181843745
3y,symmetric_confirm,24,confirm_bars,3.0,2.744156311872466,-0.33368182944387337,65,3.6176013181843745
6y,baseline,12,none,0.0,19.01568213617862,-0.41314839892038846,189,6.57659730313972
6y,baseline,18,none,0.0,17.628310817074407,-0.3961307389498482,171,6.57659730313972
6y,baseline,24,none,0.0,18.52152374674657,-0.43102096018208214,163,6.57659730313972
6y,exit_confirm,12,exit_confirm_bars,1.0,19.01568213617862,-0.41314839892038846,189,6.57659730313972
6y,exit_confirm,18,exit_confirm_bars,1.0,17.628310817074407,-0.3961307389498482,171,6.57659730313972
6y,exit_confirm,24,exit_confirm_bars,1.0,18.52152374674657,-0.43102096018208214,163,6.57659730313972
6y,exit_confirm,12,exit_confirm_bars,2.0,22.002371551008288,-0.3942159147070501,153,6.57659730313972
6y,exit_confirm,18,exit_confirm_bars,2.0,21.418791309937152,-0.4058518344468367,147,6.57659730313972
6y,exit_confirm,24,exit_confirm_bars,2.0,17.816102597443813,-0.43440467108435676,143,6.57659730313972
6y,exit_confirm,12,exit_confirm_bars,3.0,20.386861076785745,-0.40525746629734816,143,6.57659730313972
6y,exit_confirm,18,exit_confirm_bars,3.0,19.331491851691858,-0.41357717684653916,137,6.57659730313972
6y,exit_confirm,24,exit_confirm_bars,3.0,17.64421677926923,-0.4347944288749417,129,6.57659730313972
6y,exit_confirm,12,exit_confirm_bars,5.0,16.593437398320894,-0.4879120889977814,131,6.57659730313972
6y,exit_confirm,18,exit_confirm_bars,5.0,17.185648596394593,-0.45809188811015955,127,6.57659730313972
6y,exit_confirm,24,exit_confirm_bars,5.0,16.102917356532437,-0.5023699742303236,121,6.57659730313972
6y,exit_buffer,12,exit_buffer_pct,0.005,19.380087491500337,-0.3930303495182774,159,6.57659730313972
6y,exit_buffer,18,exit_buffer_pct,0.005,18.52763185777337,-0.38569146775198426,149,6.57659730313972
6y,exit_buffer,24,exit_buffer_pct,0.005,21.148995856927215,-0.3752481918709807,143,6.57659730313972
6y,exit_buffer,12,exit_buffer_pct,0.01,18.32627085739818,-0.39930075578957913,141,6.57659730313972
6y,exit_buffer,18,exit_buffer_pct,0.01,17.90059743259541,-0.42104318346108294,133,6.57659730313972
6y,exit_buffer,24,exit_buffer_pct,0.01,20.17914896678648,-0.41660250380370856,123,6.57659730313972
6y,exit_buffer,12,exit_buffer_pct,0.015,17.134284122016002,-0.39556104655833235,127,6.57659730313972
6y,exit_buffer,18,exit_buffer_pct,0.015,16.144115102048595,-0.4092903956044308,125,6.57659730313972
6y,exit_buffer,24,exit_buffer_pct,0.015,17.83168082659608,-0.4084919161687717,117,6.57659730313972
6y,exit_buffer,12,exit_buffer_pct,0.02,15.568762633454536,-0.4555699871981659,117,6.57659730313972
6y,exit_buffer,18,exit_buffer_pct,0.02,16.24255106009866,-0.46171802787444116,111,6.57659730313972
6y,exit_buffer,24,exit_buffer_pct,0.02,16.098432001758386,-0.47582426729949645,107,6.57659730313972
6y,entry_confirm,18,entry_confirm_bars,1.0,16.152289150867755,-0.39613073894984796,173,6.57659730313972
6y,entry_confirm,24,entry_confirm_bars,1.0,16.974727996422505,-0.431020960182082,165,6.57659730313972
6y,entry_confirm,18,entry_confirm_bars,2.0,15.214636164902323,-0.4610062935441406,163,6.57659730313972
6y,entry_confirm,24,entry_confirm_bars,2.0,13.98323765697175,-0.4810113148963303,151,6.57659730313972
6y,entry_confirm,18,entry_confirm_bars,3.0,16.85398222309117,-0.48406368860148263,149,6.57659730313972
6y,entry_confirm,24,entry_confirm_bars,3.0,17.27676863414518,-0.4822754629570084,137,6.57659730313972
6y,symmetric_confirm,12,confirm_bars,1.0,17.42973154801115,-0.41314839892038857,191,6.57659730313972
6y,symmetric_confirm,18,confirm_bars,1.0,16.152289150867755,-0.39613073894984796,173,6.57659730313972
6y,symmetric_confirm,24,confirm_bars,1.0,16.974727996422505,-0.431020960182082,165,6.57659730313972
6y,symmetric_confirm,12,confirm_bars,2.0,19.55359752300129,-0.4296603756079306,143,6.57659730313972
6y,symmetric_confirm,18,confirm_bars,2.0,17.278912871099944,-0.4583238537038695,139,6.57659730313972
6y,symmetric_confirm,24,confirm_bars,2.0,15.907538156074018,-0.44714330205704744,131,6.57659730313972
6y,symmetric_confirm,12,confirm_bars,3.0,16.800514246349863,-0.49559366605385946,123,6.57659730313972
6y,symmetric_confirm,18,confirm_bars,3.0,17.269137364219198,-0.48353919499188347,117,6.57659730313972
6y,symmetric_confirm,24,confirm_bars,3.0,16.22708008549585,-0.5119399822500686,115,6.57659730313972
