window,signal_interval,exec_interval,signal_mode,freeze_days,freeze_bars,freeze_basis,return,max_dd,trades
3y,1d,1d,long_close_signal,5,5,signal,2.7718797754798237,-0.2805599271125382,57
3y,1d,1d,exec_close_vs_signal_ma,5,5,execution,3.1142500207138673,-0.22901128380599367,55
3y,1d,1d,long_close_signal,7,7,signal,2.455972616706502,-0.3064863591491752,53
3y,1d,1d,exec_close_vs_signal_ma,7,7,execution,3.0876955008378886,-0.2281018640348228,51
6y,1h,1h,long_close_signal,0,0,signal,8.672808928579677,-0.4663560906132631,639
6y,1h,1h,exec_close_vs_signal_ma,0,0,execution,8.72984787061445,-0.4702967809401739,641
6y,1h,1h,long_close_signal,2,48,signal,12.363617521166196,-0.48470945215540817,193
6y,1h,1h,exec_close_vs_signal_ma,2,48,execution,12.432942819544712,-0.48463350999600396,193
6y,1h,1h,long_close_signal,4,96,signal,13.7541247801548,-0.5065483165944915,145
6y,1h,1h,exec_close_vs_signal_ma,4,96,execution,13.860111311304,-0.5054397854744371,145
6y,1h,1h,long_close_signal,5,120,signal,10.89826640234276,-0.49986944243868314,135
6y,1h,1h,exec_close_vs_signal_ma,5,120,execution,11.246436333592303,-0.4937747763444339,135
6y,1h,1h,long_close_signal,7,168,signal,14.307130179212619,-0.478090356890692,113
6y,1h,1h,exec_close_vs_signal_ma,7,168,execution,14.56906672514749,-0.4718211616313561,113
6y,1h,4h,long_close_signal,0,0,signal,15.901023937861176,-0.3775814251920886,313
6y,1h,4h,exec_close_vs_signal_ma,0,0,execution,16.277119517745323,-0.38010257598498054,311
6y,1h,4h,long_close_signal,2,48,signal,13.884897513610438,-0.4482348510534757,193
6y,1h,4h,exec_close_vs_signal_ma,2,12,execution,17.455585897194588,-0.4249816345059839,161
6y,1h,4h,long_close_signal,4,96,signal,14.170502459046434,-0.4822892440095159,145
6y,1h,4h,exec_close_vs_signal_ma,4,24,execution,17.081880297250517,-0.4429004489886743,129
6y,1h,4h,long_close_signal,5,120,signal,10.20494390756984,-0.49790511340149823,135
6y,1h,4h,exec_close_vs_signal_ma,5,30,execution,14.305990272746717,-0.4459849293376257,117
6y,1h,4h,long_close_signal,7,168,signal,15.6138663146135,-0.431306044843921,113
6y,1h,4h,exec_close_vs_signal_ma,7,42,execution,12.87084163639865,-0.39565599779266547,107
6y,1h,1d,long_close_signal,0,0,signal,16.367744451953794,-0.5056196059656921,147
6y,1h,1d,exec_close_vs_signal_ma,0,0,execution,16.09655287720244,-0.505619605965692,147
6y,1h,1d,long_close_signal,2,48,signal,14.160984145108328,-0.4639714603942944,193
6y,1h,1d,exec_close_vs_signal_ma,2,2,execution,19.432786998798008,-0.4859576713614099,125
6y,1h,1d,long_close_signal,4,96,signal,11.884038208398074,-0.4734652185467373,145
6y,1h,1d,exec_close_vs_signal_ma,4,4,execution,15.509121714214473,-0.5018369190836998,105
6y,1h,1d,long_close_signal,5,120,signal,13.148986160080348,-0.4776918351487621,135
